"OTU_ID","Mean.blank","All.groups","Group1","taxon"
"MOTU1",5657.85833844328,"Totally.removed","Totally.removed","cellular organisms"
"MOTU103",0.0111496732074924,"Totally.removed","Totally.removed","Dinophyceae"
"MOTU104",17.664199096218,"Totally.removed","Totally.removed","Enopla"
"MOTU1043",0.74260317923797,"Totally.removed","Totally.removed","Scuticociliatia"
"MOTU1052",1.57276841460221,"Totally.removed","Totally.removed","Eukaryota"
"MOTU110",85.8648787444579,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1102",1.77034040743945,"Totally.removed","Totally.removed","Saccharomycetales"
"MOTU1117",0.59141808955479,"Totally.removed","Totally.removed","Echinoidea"
"MOTU1124",0.288988384668818,"Totally.removed","Totally.removed","Oligotrichia"
"MOTU1127",0.131269236248221,"Totally.removed","Totally.removed","Eukaryota"
"MOTU113",0.0662788577881745,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1171",0.667478811073302,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1174",0.771870107434431,"Totally.removed","Totally.removed","Eukaryota"
"MOTU119",335.371020408163,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1198",0.0111496732074924,"Totally.removed","Totally.removed","Pedinellales"
"MOTU1211",0.841909563233854,"Totally.removed","Totally.removed","Eukaryota"
"MOTU122",0.00850677304200901,"Totally.removed","Totally.removed","Stramenopiles"
"MOTU1223",1.82667569417768,"Totally.removed","Totally.removed","Cercozoa"
"MOTU123",61.2684225871156,"Totally.removed","Totally.removed","Eukaryota"
"MOTU126",0.0662788577881745,"Totally.removed","Totally.removed","Filifera"
"MOTU1269",1.18836082373284,"Totally.removed","Totally.removed","Eukaryota"
"MOTU127",0.0111853723912938,"Totally.removed","Totally.removed","Suberitida"
"MOTU128",0.203009092256757,"Totally.removed","Totally.removed","Oligotrichia"
"MOTU1284",0.00912822592292224,"Totally.removed","Totally.removed","Naviculaceae"
"MOTU132",0.00912822592292224,"Totally.removed","Totally.removed","Haplosclerida"
"MOTU1336",0.0662788577881745,"Totally.removed","Totally.removed","Eukaryota"
"MOTU135",0.0229706178361756,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1386",0.144494192334409,"Totally.removed","Totally.removed","Eukaryota"
"MOTU139",0.0662788577881745,"Totally.removed","Totally.removed","Haplosclerida"
"MOTU14",0.049895736727912,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1403",0.0754907334823477,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1405",0.144494192334409,"Totally.removed","Totally.removed","Eukaryota"
"MOTU150",0.510617598903704,"Totally.removed","Totally.removed","Calanoida"
"MOTU155",0.0219863208636045,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1552",0.851560622211084,"Totally.removed","Totally.removed","Chrysophyceae"
"MOTU1556",0.0304384661833512,"Totally.removed","Totally.removed","Dinophyceae"
"MOTU156",350.487319169009,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1566",0.577976769337636,"Totally.removed","Totally.removed","Oligotrichia"
"MOTU157",475.201088239933,"Totally.removed","Totally.removed","Poaceae"
"MOTU158",66.0468092707543,"Totally.removed","Totally.removed","Ulvophyceae"
"MOTU159",0.0093817948473484,"Totally.removed","Totally.removed","Cercozoa"
"MOTU16",0.441891764604152,"Totally.removed","Totally.removed","Saccharomyces cerevisiae"
"MOTU161",12.2417729025118,"Totally.removed","Totally.removed","Bilateria"
