"OTU_ID","Mean.blank","All.groups","Group1","taxon"
"MOTU1",6622.91337451758,"Totally.removed","Totally.removed","Eukaryota"
"MOTU10033",2.43032795395813,"Totally.removed","Totally.removed","root"
"MOTU1006",1.02785714285714,"Totally.removed","Totally.removed","Florideophyceae"
"MOTU102",0.0105369371269236,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1023",4.83437275749683,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1024",0.0538180284044915,"Totally.removed","Totally.removed","root"
"MOTU1028",0.0157357186597848,"Totally.removed","Totally.removed","Eukaryota"
"MOTU103",0.0580508405612543,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1051",202.899378777556,"Totally.removed","Totally.removed","root"
"MOTU1078",0.0131698888201464,"Totally.removed","Totally.removed","Bacillariophyta"
"MOTU1079",0.00795604327556771,"Totally.removed","Totally.removed","Bacillariophyta"
"MOTU108",0.0506920899989612,"Totally.removed","Totally.removed","Eukaryota"
"MOTU109",1.02785714285714,"Totally.removed","Totally.removed","Eukaryota"
"MOTU10903",0.040354437239878,"Totally.removed","Totally.removed","Eukaryota"
"MOTU11",0.0625927087376219,"Totally.removed","Totally.removed","Dikarya"
"MOTU110",0.0397993163036143,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1105",5.34256112201748,"Totally.removed","Totally.removed","root"
"MOTU111",0.0227537941437837,"Totally.removed","Totally.removed","cellular organisms"
"MOTU112",133.499788981492,"Totally.removed","Totally.removed","Eukaryota"
"MOTU115",0.0155891822558489,"Totally.removed","Totally.removed","Dinophyceae"
"MOTU11597",0.0529927656608187,"Totally.removed","Totally.removed","root"
"MOTU116",157.665117775721,"Totally.removed","Totally.removed","Eukaryota"
"MOTU11615",0.0304378965971382,"Totally.removed","Totally.removed","root"
"MOTU1163",4.37505241969303,"Totally.removed","Totally.removed","Dolabella auricularia"
"MOTU117",0.0101352588681754,"Totally.removed","Totally.removed","Bilateria"
"MOTU1172",0.0105369371269236,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1179",0.0157357186597848,"Totally.removed","Totally.removed","Eukaryota"
"MOTU118",117.500648327387,"Totally.removed","Totally.removed","root"
"MOTU119",0.00911592620090766,"Totally.removed","Totally.removed","Rhodymeniophycidae"
"MOTU120",0.0981716468822486,"Totally.removed","Totally.removed","Laurencieae"
"MOTU121",157.655472526902,"Totally.removed","Totally.removed","root"
"MOTU122",0.0105369371269236,"Totally.removed","Totally.removed","Eukaryota"
"MOTU12233",0.0920267087467078,"Totally.removed","Totally.removed","root"
"MOTU12397",0.102539923461832,"Totally.removed","Totally.removed","root"
"MOTU124",135.285288296897,"Totally.removed","Totally.removed","root"
"MOTU12607",0.148277141208474,"Totally.removed","Totally.removed","root"
"MOTU1263",0.154292888432274,"Totally.removed","Totally.removed","Laurasiatheria"
"MOTU127",0.00989332533983813,"Totally.removed","Totally.removed","root"
"MOTU128",0.0135776748679974,"Totally.removed","Totally.removed","Podoplea"
"MOTU1325",4.4045027506395,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1335",0.0105369371269236,"Totally.removed","Totally.removed","Oithona similis"
"MOTU1346",33.0908076090494,"Totally.removed","Totally.removed","root"
"MOTU135",0.00808534165203926,"Totally.removed","Totally.removed","Rhodymeniophycidae"
"MOTU13649",0.0247652549840291,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1367",0.00896501712012998,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1369",0.0981716468822486,"Totally.removed","Totally.removed","Alveolata"
"MOTU137",95.5049897518734,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1384",2.13675210319282,"Totally.removed","Totally.removed","root"
"MOTU139",0.0160407182317979,"Totally.removed","Totally.removed","Eukaryota"
"MOTU14",1785.47520032273,"Totally.removed","Totally.removed","cellular organisms"
"MOTU14194",7.38050124856225,"Totally.removed","Totally.removed","root"
"MOTU1424",0.00781913934043196,"Totally.removed","Totally.removed","root"
"MOTU1432",1.66664521857748,"Totally.removed","Totally.removed","Eukaryota"
"MOTU147",4.32870998174924,"Totally.removed","Totally.removed","Clionaidae"
"MOTU1472",293.235586481113,"Totally.removed","Totally.removed","Formicinae"
"MOTU1482",0.0155284194896233,"Totally.removed","Totally.removed","Protostomia"
"MOTU150",0.293922507177087,"Totally.removed","Totally.removed","Eukaryota"
"MOTU15018",0.0368500033290483,"Totally.removed","Totally.removed","root"
"MOTU15045",0.0135776748679974,"Totally.removed","Totally.removed","Eukaryota"
"MOTU15063",0.0636150792558729,"Totally.removed","Totally.removed","root"
"MOTU1547",0.0349563713391764,"Totally.removed","Totally.removed","Hydroidolina"
"MOTU15489",8.29213739154907,"Totally.removed","Totally.removed","root"
"MOTU1569",0.0107759911815099,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1578",0.0135776748679974,"Totally.removed","Totally.removed","Eukaryota"
"MOTU159",0.0261451712696578,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1615",3.64208080208537,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1645",0.0490858234411243,"Totally.removed","Totally.removed","root"
"MOTU1653",0.00866936406991399,"Totally.removed","Totally.removed","Ectocarpales"
"MOTU16625",0.0185346426510593,"Totally.removed","Totally.removed","Bacillariophyta"
"MOTU1663",0.0235541762422004,"Totally.removed","Totally.removed","Eukaryota"
"MOTU16782",0.0392905766600015,"Totally.removed","Totally.removed","root"
"MOTU16941",0.0180598296176186,"Totally.removed","Totally.removed","cellular organisms"
"MOTU17",1254.5608051659,"Totally.removed","Totally.removed","Eukaryota"
"MOTU170",0.0135776748679974,"Totally.removed","Totally.removed","root"
"MOTU17066",1.33880884006734,"Totally.removed","Totally.removed","Eukaryota"
"MOTU17088",0.0185346426510593,"Totally.removed","Totally.removed","Eukaryota"
"MOTU17257",1.09152743582873,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1729",30.0472514460132,"Totally.removed","Totally.removed","Vespinae"
"MOTU175",0.0155284194896233,"Totally.removed","Totally.removed","root"
"MOTU1760",2.45472144134935,"Totally.removed","Totally.removed","Neocalanus"
"MOTU178",0.126410973442722,"Totally.removed","Totally.removed","Dinophyceae"
"MOTU179",61.6488790743788,"Totally.removed","Totally.removed","Opisthokonta"
"MOTU17939",1.14948647208565,"Totally.removed","Totally.removed","root"
"MOTU18",1982.83047313357,"Totally.removed","Totally.removed","Xiphinema brevicollum"
"MOTU180",14.2757936507937,"Totally.removed","Totally.removed","Dinophyceae"
"MOTU182",0.0250227754331576,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1839",3.95478876361414,"Totally.removed","Totally.removed","root"
"MOTU1844",0.0155284194896233,"Totally.removed","Totally.removed","Eukaryota"
"MOTU185",0.0113768970718919,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1876",8.99464548461683,"Totally.removed","Totally.removed","Eukaryota"
"MOTU188",62.8751626989219,"Totally.removed","Totally.removed","cellular organisms"
"MOTU1885",0.016585831389291,"Totally.removed","Totally.removed","Eukaryota"
"MOTU189",14.2757936507937,"Totally.removed","Totally.removed","cellular organisms"
"MOTU19",1728.97735641178,"Totally.removed","Totally.removed","Eukaryota"
"MOTU190",117.926326568946,"Totally.removed","Totally.removed","root"
"MOTU19079",0.00896501712012998,"Totally.removed","Totally.removed","root"
"MOTU191",0.0131698888201464,"Totally.removed","Totally.removed","Florideophyceae"
"MOTU19346",0.0908279044859719,"Totally.removed","Totally.removed","root"
"MOTU194",85.1710655795313,"Totally.removed","Totally.removed","root"
"MOTU1944",19.7418370283083,"Totally.removed","Totally.removed","root"
"MOTU196",58.1215341636171,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1962",1.69163368746585,"Totally.removed","Totally.removed","Calanoida"
"MOTU1963",1.02785714285714,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1965",0.0113768970718919,"Totally.removed","Totally.removed","Eukaryota"
"MOTU1986",0.00661367150229158,"Totally.removed","Totally.removed","cellular organisms"
"MOTU20",1368.21493462202,"Totally.removed","Totally.removed","cellular organisms"
"MOTU200",0.0490858234411243,"Totally.removed","Totally.removed","PX clade"
"MOTU206",510.380157816867,"Totally.removed","Totally.removed","Oithonidae"
"MOTU20684",0.056213393172689,"Totally.removed","Totally.removed","root"
"MOTU207",0.0227537941437837,"Totally.removed","Totally.removed","Rhodymeniophycidae"
"MOTU209",0.0094616523635063,"Totally.removed","Totally.removed","Ceramiales"
"MOTU20921",0.011868197848384,"Totally.removed","Totally.removed","Ceramiales"
