OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU1,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU2,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU3,2759,Eukaryota,superkingdom,0.998,,,,,,,
MOTU4,2759,Eukaryota,superkingdom,0.9872,,,,,,,
MOTU5,136189,Oithonidae,family,1,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,,
MOTU6,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU8,1,root,no rank,NA,,,,,,,
MOTU9,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU10,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU11,451864,Dikarya,subkingdom,1,Fungi,,,,,,
MOTU12,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU13,33630,Alveolata,no rank,1,,,,,,,
MOTU14,131567,cellular organisms,no rank,0.999,,,,,,,
MOTU15,46719,Porites,genus,0.9977,Metazoa,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,
MOTU16,2045261,Rhodymeniophycidae,subclass,1,,,Florideophyceae,,,,
MOTU17,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU18,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU19,2759,Eukaryota,superkingdom,0.9963,,,,,,,
MOTU20,131567,cellular organisms,no rank,1,,,,,,,
MOTU21,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU22,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU23,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU24,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU25,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU26,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU27,2836,Bacillariophyta,phylum,1,,Bacillariophyta,,,,,
MOTU28,2759,Eukaryota,superkingdom,0.9966,,,,,,,
MOTU29,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU30,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU31,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU32,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU33,1,root,no rank,1,,,,,,,
MOTU34,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU35,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU36,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU37,2759,Eukaryota,superkingdom,0.9397,,,,,,,
MOTU38,2759,Eukaryota,superkingdom,0.998,,,,,,,
MOTU39,131567,cellular organisms,no rank,1,,,,,,,
MOTU40,1,root,no rank,NA,,,,,,,
MOTU41,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU42,2759,Eukaryota,superkingdom,0.9983,,,,,,,
MOTU43,131567,cellular organisms,no rank,1,,,,,,,
MOTU44,116571,Podoplea,superorder,0.8718,Metazoa,Arthropoda,Hexanauplia,,,,
MOTU45,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU46,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU47,33630,Alveolata,no rank,1,,,,,,,
MOTU48,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU49,131567,cellular organisms,no rank,1,,,,,,,
MOTU50,131567,cellular organisms,no rank,1,,,,,,,
MOTU51,2759,Eukaryota,superkingdom,0.9966,,,,,,,
MOTU52,116571,Podoplea,superorder,1,Metazoa,Arthropoda,Hexanauplia,,,,
MOTU53,2759,Eukaryota,superkingdom,1,,,,,,,
