OTU_ID,taxID,taxon,rank,score,kingdom,phylum,class,order,family,genus,species
MOTU1,131567,cellular organisms,no rank,1,,,,,,,
MOTU2,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU3,2137591,Kryptoperidiniaceae,family,1,,,Dinophyceae,Peridiniales,Kryptoperidiniaceae,,
MOTU4,131567,cellular organisms,no rank,1,,,,,,,
MOTU5,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU6,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU7,6102,Hexacorallia,subclass,0.9991,Metazoa,Cnidaria,Anthozoa,,,,
MOTU8,200605,Choreotrichida,order,1,,,Spirotrichea,Choreotrichida,,,
MOTU9,2759,Eukaryota,superkingdom,0.988,,,,,,,
MOTU10,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU11,2759,Eukaryota,superkingdom,0.9999,,,,,,,
MOTU12,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU13,49244,Cymatosiraceae,family,1,,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,,
MOTU14,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU15,6833,Calanoida,order,1,Metazoa,Arthropoda,Hexanauplia,Calanoida,,,
MOTU16,70447,Ostreococcus,genus,0.9991,Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,
MOTU17,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU18,3027,Cryptophyta,class,1,,,Cryptophyta,,,,
MOTU19,4930,Saccharomyces,genus,0.9829,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,
MOTU20,33836,Coscinodiscophyceae,class,0.994,,Bacillariophyta,Coscinodiscophyceae,,,,
MOTU21,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU22,36882,Pyramimonas,genus,0.9583,Viridiplantae,Chlorophyta,,Pyramimonadales,,Pyramimonas,
MOTU23,33850,Bacillariophycidae,no rank,0.8993,,Bacillariophyta,Bacillariophyceae,,,,
MOTU24,104737,Eunicidae,family,0.9912,Metazoa,Annelida,Polychaeta,Eunicida,Eunicidae,,
MOTU25,2759,Eukaryota,superkingdom,1,,,,,,,
MOTU26,2759,Eukaryota,superkingdom,1,,,,,,,
