"","Estimate","Std. Error","z value","Pr(>|z|)","R2m","R2c"
"(Intercept)",-0.455224031052304,0.326832893992973,-1.39283419575905,0.163669935111214,0.190627846468784,0.777012509466778
"SEASONWet",0.106659706670288,0.133138832771792,0.801116431996284,0.423064244239954,0.190627846468784,0.777012509466778
"SST_scaled",-0.141939919690494,0.0537388768540379,-2.64128928626518,0.00825911646847541,0.190627846468784,0.777012509466778
"wind_scaled",-0.0919591911008636,0.0615111371824038,-1.49500066676007,0.134914268130009,0.190627846468784,0.777012509466778
"wave_scaled",0.0255909469068923,0.062771879884122,0.407681703242497,0.683507371973721,0.190627846468784,0.777012509466778
"tide_scaled",0.0775253003487338,0.0474287052874385,1.63456497239166,0.102140275567829,0.190627846468784,0.777012509466778
"lunar_sin",0.200556282258015,0.0615364356910484,3.25914687787465,0.00111747797816492,0.190627846468784,0.777012509466778
"lunar_cos",-0.109471141792207,0.0604737865126027,-1.81022469577613,0.0702609493794635,0.190627846468784,0.777012509466778
"MWD_sin",-0.0557187111631948,0.0813789198818478,-0.684682363001273,0.493544380855396,0.190627846468784,0.777012509466778
"MWD_cos",0.0278353106994806,0.0752560304848729,0.369874819601012,0.711475764053229,0.190627846468784,0.777012509466778
"WDIR_sin",0.352812873659653,0.155214303673776,2.27306933258666,0.023022002158088,0.190627846468784,0.777012509466778
"WDIR_cos",0.228966601012517,0.151788796080963,1.50845521490524,0.131438060592287,0.190627846468784,0.777012509466778
