"Type","Term","Estimate","Std_Error","Statistic","P_value","Significance","edf","Ref_df","Chi_sq"
"Parametric","(Intercept)",-0.763,0.399,-1.91,"0.056",".",,,
"Parametric","SEASONWet",-0.042,0.193,-0.22,"0.827","",,,
"Parametric","MARKERCOI",-0.517,0.093,-5.56,"<0.001","***",,,
"Smooth","s(SST_scaled)",2.49,3,12.35,"0.012","*",2.49,3,12.35
"Smooth","s(wind_scaled)",2.65,3,15.88,"0.002","**",2.65,3,15.88
"Smooth","s(wave_scaled)",1,3,14.47,"0.003","**",1,3,14.47
"Smooth","s(tide_scaled)",0.96,3,9.79,"0.003","**",0.96,3,9.79
"Smooth","s(degrees)",1.02,2,3.37,"0.088",".",1.02,2,3.37
"Smooth","s(MWD)",1.69,2,14.72,"0.001","**",1.69,2,14.72
"Smooth","s(WDIR)",1.02,2,3.4,"0.121","",1.02,2,3.4
"Smooth","s(SITE)",2.95,3,161.42,"<0.001","***",2.95,3,161.42
"Model Fit","R-squared",0.499,,,,,,,
"Model Fit","Deviance_explained",0.522,,,,,,,
"Model Fit","REML_score",-193.1,,,,,,,
"Model Fit","n",360,,,,,,,
