phylum,n,Site,Marker
Porifera,12,Kāneʻohe,18S
Cnidaria,5,Kāneʻohe,18S
Chlorophyta,2,Kāneʻohe,18S
Annelida,1,Kāneʻohe,18S
Porifera,4,Lanikai,18S
Chlorophyta,2,Lanikai,18S
Rhodophyta,2,Lanikai,18S
Cnidaria,1,Lanikai,18S
Mollusca,1,Lanikai,18S
Porifera,29,Maunalua,18S
Chlorophyta,8,Maunalua,18S
Mollusca,4,Maunalua,18S
Rhodophyta,4,Maunalua,18S
Chordata,3,Maunalua,18S
Annelida,2,Maunalua,18S
Cnidaria,2,Maunalua,18S
Ochrophyta,1,Maunalua,18S
Porifera,8,Waimānalo,18S
Chlorophyta,4,Waimānalo,18S
Cnidaria,2,Waimānalo,18S
Mollusca,2,Waimānalo,18S
Hemichordata,1,Waimānalo,18S
Ochrophyta,1,Waimānalo,18S
Rhodophyta,1,Waimānalo,18S
