STEP,value,step,Measure,YEAR,MONTH,MONTH_NUM,MonthYear,Marker,SITE
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Overall
10,0.40852819807427787,10,Disappearance,2020,October,10,10/20,18S,Overall
10,0.5832187070151307,10,Total,2020,October,10,10/20,18S,Overall
10,0.1746905089408528,10,Appearance,2020,October,10,10/20,18S,Overall
11,0.13956639566395665,11,Disappearance,2020,November,11,11/20,18S,Overall
11,0.556910569105691,11,Total,2020,November,11,11/20,18S,Overall
11,0.4173441734417344,11,Appearance,2020,November,11,11/20,18S,Overall
12,0.22936893203883496,12,Appearance,2020,December,12,12/20,18S,Overall
12,0.48058252427184467,12,Total,2020,December,12,12/20,18S,Overall
12,0.2512135922330097,12,Disappearance,2020,December,12,12/20,18S,Overall
13,0.24664224664224665,13,Appearance,2021,January,1,01/21,18S,Overall
13,0.2796092796092796,13,Disappearance,2021,January,1,01/21,18S,Overall
13,0.5262515262515263,13,Total,2021,January,1,01/21,18S,Overall
14,0.2521631644004944,14,Disappearance,2021,March,3,03/21,18S,Overall
14,0.27070457354758964,14,Appearance,2021,March,3,03/21,18S,Overall
14,0.522867737948084,14,Total,2021,March,3,03/21,18S,Overall
15,0.46765498652291104,15,Total,2021,April,4,04/21,18S,Overall
15,0.2830188679245283,15,Disappearance,2021,April,4,04/21,18S,Overall
15,0.18463611859838275,15,Appearance,2021,April,4,04/21,18S,Overall
16,0.5351681957186545,16,Total,2021,June,6,06/21,18S,Overall
16,0.18654434250764526,16,Appearance,2021,June,6,06/21,18S,Overall
16,0.3486238532110092,16,Disappearance,2021,June,6,06/21,18S,Overall
17,0.3456221198156682,17,Appearance,2023,June,6,06/23,18S,Overall
17,0.5898617511520737,17,Total,2023,June,6,06/23,18S,Overall
17,0.24423963133640553,17,Disappearance,2023,June,6,06/23,18S,Overall
2,0.6546644844517185,2,Total,2019,September,9,09/19,18S,Overall
2,0.12111292962356793,2,Disappearance,2019,September,9,09/19,18S,Overall
2,0.5335515548281505,2,Appearance,2019,September,9,09/19,18S,Overall
3,0.5746799431009957,3,Total,2019,November,11,11/19,18S,Overall
3,0.2361308677098151,3,Appearance,2019,November,11,11/19,18S,Overall
3,0.3385490753911807,3,Disappearance,2019,November,11,11/19,18S,Overall
4,0.40384615384615385,4,Appearance,2020,February,2,02/20,18S,Overall
4,0.5871794871794872,4,Total,2020,February,2,02/20,18S,Overall
4,0.18333333333333332,4,Disappearance,2020,February,2,02/20,18S,Overall
5,0.27928994082840236,5,Disappearance,2020,May,5,05/20,18S,Overall
5,0.24615384615384617,5,Appearance,2020,May,5,05/20,18S,Overall
5,0.5254437869822485,5,Total,2020,May,5,05/20,18S,Overall
6,0.1943127962085308,6,Disappearance,2020,June,6,06/20,18S,Overall
6,0.4727488151658768,6,Total,2020,June,6,06/20,18S,Overall
6,0.278436018957346,6,Appearance,2020,June,6,06/20,18S,Overall
7,0.45595238095238094,7,Total,2020,July,7,07/20,18S,Overall
7,0.2654761904761905,7,Disappearance,2020,July,7,07/20,18S,Overall
7,0.19047619047619047,7,Appearance,2020,July,7,07/20,18S,Overall
8,0.26019184652278177,8,Appearance,2020,August,8,08/20,18S,Overall
8,0.22541966426858512,8,Disappearance,2020,August,8,08/20,18S,Overall
8,0.4856115107913669,8,Total,2020,August,8,08/20,18S,Overall
9,0.20246913580246914,9,Appearance,2020,September,9,09/20,18S,Overall
9,0.25925925925925924,9,Disappearance,2020,September,9,09/20,18S,Overall
9,0.4617283950617284,9,Total,2020,September,9,09/20,18S,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Kāneʻohe
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Kāneʻohe
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Kāneʻohe
10,0.7090909090909091,10,Disappearance,2020,October,10,10/20,18S,Kāneʻohe
10,0.7927272727272727,10,Total,2020,October,10,10/20,18S,Kāneʻohe
10,0.08363636363636363,10,Appearance,2020,October,10,10/20,18S,Kāneʻohe
11,0.13366336633663367,11,Disappearance,2020,November,11,11/20,18S,Kāneʻohe
11,0.7376237623762376,11,Total,2020,November,11,11/20,18S,Kāneʻohe
11,0.6039603960396039,11,Appearance,2020,November,11,11/20,18S,Kāneʻohe
12,0.32170542635658916,12,Appearance,2020,December,12,12/20,18S,Kāneʻohe
12,0.6356589147286822,12,Total,2020,December,12,12/20,18S,Kāneʻohe
12,0.313953488372093,12,Disappearance,2020,December,12,12/20,18S,Kāneʻohe
13,0.47477744807121663,13,Appearance,2021,January,1,01/21,18S,Kāneʻohe
13,0.22255192878338279,13,Disappearance,2021,January,1,01/21,18S,Kāneʻohe
13,0.6973293768545994,13,Total,2021,January,1,01/21,18S,Kāneʻohe
14,0.3515850144092219,14,Disappearance,2021,March,3,03/21,18S,Kāneʻohe
14,0.24495677233429394,14,Appearance,2021,March,3,03/21,18S,Kāneʻohe
14,0.5965417867435159,14,Total,2021,March,3,03/21,18S,Kāneʻohe
15,0.5257731958762887,15,Total,2021,April,4,04/21,18S,Kāneʻohe
15,0.29896907216494845,15,Disappearance,2021,April,4,04/21,18S,Kāneʻohe
15,0.2268041237113402,15,Appearance,2021,April,4,04/21,18S,Kāneʻohe
16,0.7171314741035857,16,Total,2021,June,6,06/21,18S,Kāneʻohe
16,0.18725099601593626,16,Appearance,2021,June,6,06/21,18S,Kāneʻohe
16,0.5298804780876494,16,Disappearance,2021,June,6,06/21,18S,Kāneʻohe
17,0.27607361963190186,17,Appearance,2023,June,6,06/23,18S,Kāneʻohe
17,0.8098159509202454,17,Total,2023,June,6,06/23,18S,Kāneʻohe
17,0.5337423312883436,17,Disappearance,2023,June,6,06/23,18S,Kāneʻohe
2,0.7992565055762082,2,Total,2019,September,9,09/19,18S,Kāneʻohe
2,0.11895910780669144,2,Disappearance,2019,September,9,09/19,18S,Kāneʻohe
2,0.6802973977695167,2,Appearance,2019,September,9,09/19,18S,Kāneʻohe
3,0.6486486486486487,3,Total,2019,November,11,11/19,18S,Kāneʻohe
3,0.19932432432432431,3,Appearance,2019,November,11,11/19,18S,Kāneʻohe
3,0.44932432432432434,3,Disappearance,2019,November,11,11/19,18S,Kāneʻohe
4,0.37786259541984735,4,Appearance,2020,February,2,02/20,18S,Kāneʻohe
4,0.6984732824427481,4,Total,2020,February,2,02/20,18S,Kāneʻohe
4,0.32061068702290074,4,Disappearance,2020,February,2,02/20,18S,Kāneʻohe
5,0.22012578616352202,5,Disappearance,2020,May,5,05/20,18S,Kāneʻohe
5,0.44025157232704404,5,Appearance,2020,May,5,05/20,18S,Kāneʻohe
5,0.660377358490566,5,Total,2020,May,5,05/20,18S,Kāneʻohe
6,0.16666666666666666,6,Disappearance,2020,June,6,06/20,18S,Kāneʻohe
6,0.4890710382513661,6,Total,2020,June,6,06/20,18S,Kāneʻohe
6,0.3224043715846995,6,Appearance,2020,June,6,06/20,18S,Kāneʻohe
7,0.6843575418994413,7,Total,2020,July,7,07/20,18S,Kāneʻohe
7,0.5363128491620112,7,Disappearance,2020,July,7,07/20,18S,Kāneʻohe
7,0.14804469273743018,7,Appearance,2020,July,7,07/20,18S,Kāneʻohe
8,0.42758620689655175,8,Appearance,2020,August,8,08/20,18S,Kāneʻohe
8,0.2103448275862069,8,Disappearance,2020,August,8,08/20,18S,Kāneʻohe
8,0.6379310344827587,8,Total,2020,August,8,08/20,18S,Kāneʻohe
9,0.32047477744807124,9,Appearance,2020,September,9,09/20,18S,Kāneʻohe
9,0.2522255192878338,9,Disappearance,2020,September,9,09/20,18S,Kāneʻohe
9,0.5727002967359051,9,Total,2020,September,9,09/20,18S,Kāneʻohe
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Lanikai
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Lanikai
NA,NA,NA,NA,NA,NA,NA,09/19,18S,Lanikai
10,0.24630541871921183,10,Disappearance,2020,October,10,10/20,18S,Lanikai
10,0.6847290640394089,10,Total,2020,October,10,10/20,18S,Lanikai
10,0.43842364532019706,10,Appearance,2020,October,10,10/20,18S,Lanikai
11,0.22627737226277372,11,Disappearance,2020,November,11,11/20,18S,Lanikai
11,0.6678832116788321,11,Total,2020,November,11,11/20,18S,Lanikai
