STEP,value,step,Measure,YEAR,MONTH,MONTH_NUM,MonthYear,Marker,SITE
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Overall
10,0.4487034949267193,10,Disappearance,2020,October,10,10/20,COI,Overall
10,0.6426155580608793,10,Total,2020,October,10,10/20,COI,Overall
10,0.1939120631341601,10,Appearance,2020,October,10,10/20,COI,Overall
11,0.13314711359404097,11,Disappearance,2020,November,11,11/20,COI,Overall
11,0.6778398510242085,11,Total,2020,November,11,11/20,COI,Overall
11,0.5446927374301676,11,Appearance,2020,November,11,11/20,COI,Overall
12,0.2698039215686274,12,Appearance,2020,December,12,12/20,COI,Overall
12,0.5576470588235294,12,Total,2020,December,12,12/20,COI,Overall
12,0.28784313725490196,12,Disappearance,2020,December,12,12/20,COI,Overall
13,0.29007036747458953,13,Appearance,2021,January,1,01/21,COI,Overall
13,0.3127443315089914,13,Disappearance,2021,January,1,01/21,COI,Overall
13,0.602814698983581,13,Total,2021,January,1,01/21,COI,Overall
14,0.3311312964492155,14,Disappearance,2021,March,3,03/21,COI,Overall
14,0.2741535920726672,14,Appearance,2021,March,3,03/21,COI,Overall
14,0.6052848885218828,14,Total,2021,March,3,03/21,COI,Overall
15,0.5915004336513443,15,Total,2021,April,4,04/21,COI,Overall
15,0.2940156114483955,15,Disappearance,2021,April,4,04/21,COI,Overall
15,0.2974848222029488,15,Appearance,2021,April,4,04/21,COI,Overall
16,0.5732368896925859,16,Total,2021,June,6,06/21,COI,Overall
16,0.2640144665461121,16,Appearance,2021,June,6,06/21,COI,Overall
16,0.3092224231464738,16,Disappearance,2021,June,6,06/21,COI,Overall
17,0.28930232558139535,17,Appearance,2023,June,6,06/23,COI,Overall
17,0.6530232558139535,17,Total,2023,June,6,06/23,COI,Overall
17,0.36372093023255814,17,Disappearance,2023,June,6,06/23,COI,Overall
2,0.712682379349046,2,Total,2019,September,9,09/19,COI,Overall
2,0.10101010101010101,2,Disappearance,2019,September,9,09/19,COI,Overall
2,0.611672278338945,2,Appearance,2019,September,9,09/19,COI,Overall
3,0.6070381231671554,3,Total,2019,November,11,11/19,COI,Overall
3,0.21700879765395895,3,Appearance,2019,November,11,11/19,COI,Overall
3,0.39002932551319647,3,Disappearance,2019,November,11,11/19,COI,Overall
4,0.46757679180887374,4,Appearance,2020,February,2,02/20,COI,Overall
4,0.6237201365187713,4,Total,2020,February,2,02/20,COI,Overall
4,0.1561433447098976,4,Disappearance,2020,February,2,02/20,COI,Overall
5,0.36702954898911355,5,Disappearance,2020,May,5,05/20,COI,Overall
5,0.23094867807153965,5,Appearance,2020,May,5,05/20,COI,Overall
5,0.5979782270606532,5,Total,2020,May,5,05/20,COI,Overall
6,0.22301024428684002,6,Disappearance,2020,June,6,06/20,COI,Overall
6,0.5815602836879432,6,Total,2020,June,6,06/20,COI,Overall
6,0.35855003940110325,6,Appearance,2020,June,6,06/20,COI,Overall
7,0.5490353697749196,7,Total,2020,July,7,07/20,COI,Overall
7,0.34163987138263663,7,Disappearance,2020,July,7,07/20,COI,Overall
7,0.20739549839228297,7,Appearance,2020,July,7,07/20,COI,Overall
8,0.3053435114503817,8,Appearance,2020,August,8,08/20,COI,Overall
8,0.27905004240882103,8,Disappearance,2020,August,8,08/20,COI,Overall
8,0.5843935538592027,8,Total,2020,August,8,08/20,COI,Overall
9,0.21296296296296297,9,Appearance,2020,September,9,09/20,COI,Overall
9,0.33796296296296297,9,Disappearance,2020,September,9,09/20,COI,Overall
9,0.5509259259259259,9,Total,2020,September,9,09/20,COI,Overall
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Kāneʻohe
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Kāneʻohe
NA,NA,NA,NA,NA,NA,NA,09/19,COI,Kāneʻohe
10,0.8181818181818182,10,Disappearance,2020,October,10,10/20,COI,Kāneʻohe
10,0.8571428571428571,10,Total,2020,October,10,10/20,COI,Kāneʻohe
10,0.03896103896103896,10,Appearance,2020,October,10,10/20,COI,Kāneʻohe
11,0.08717948717948718,11,Disappearance,2020,November,11,11/20,COI,Kāneʻohe
11,0.8717948717948718,11,Total,2020,November,11,11/20,COI,Kāneʻohe
11,0.7846153846153846,11,Appearance,2020,November,11,11/20,COI,Kāneʻohe
12,0.3924914675767918,12,Appearance,2020,December,12,12/20,COI,Kāneʻohe
12,0.6621160409556314,12,Total,2020,December,12,12/20,COI,Kāneʻohe
12,0.2696245733788396,12,Disappearance,2020,December,12,12/20,COI,Kāneʻohe
13,0.3815028901734104,13,Appearance,2021,January,1,01/21,COI,Kāneʻohe
13,0.33815028901734107,13,Disappearance,2021,January,1,01/21,COI,Kāneʻohe
13,0.7196531791907514,13,Total,2021,January,1,01/21,COI,Kāneʻohe
14,0.3677811550151976,14,Disappearance,2021,March,3,03/21,COI,Kāneʻohe
14,0.303951367781155,14,Appearance,2021,March,3,03/21,COI,Kāneʻohe
14,0.6717325227963525,14,Total,2021,March,3,03/21,COI,Kāneʻohe
15,0.6612903225806451,15,Total,2021,April,4,04/21,COI,Kāneʻohe
15,0.33225806451612905,15,Disappearance,2021,April,4,04/21,COI,Kāneʻohe
15,0.32903225806451614,15,Appearance,2021,April,4,04/21,COI,Kāneʻohe
16,0.65234375,16,Total,2021,June,6,06/21,COI,Kāneʻohe
16,0.19140625,16,Appearance,2021,June,6,06/21,COI,Kāneʻohe
16,0.4609375,16,Disappearance,2021,June,6,06/21,COI,Kāneʻohe
17,0.31683168316831684,17,Appearance,2023,June,6,06/23,COI,Kāneʻohe
17,0.7623762376237624,17,Total,2023,June,6,06/23,COI,Kāneʻohe
17,0.44554455445544555,17,Disappearance,2023,June,6,06/23,COI,Kāneʻohe
2,0.7808219178082192,2,Total,2019,September,9,09/19,COI,Kāneʻohe
2,0.0867579908675799,2,Disappearance,2019,September,9,09/19,COI,Kāneʻohe
2,0.6940639269406392,2,Appearance,2019,September,9,09/19,COI,Kāneʻohe
3,0.6468253968253969,3,Total,2019,November,11,11/19,COI,Kāneʻohe
3,0.20634920634920634,3,Appearance,2019,November,11,11/19,COI,Kāneʻohe
3,0.44047619047619047,3,Disappearance,2019,November,11,11/19,COI,Kāneʻohe
4,0.4659090909090909,4,Appearance,2020,February,2,02/20,COI,Kāneʻohe
4,0.6553030303030303,4,Total,2020,February,2,02/20,COI,Kāneʻohe
4,0.1893939393939394,4,Disappearance,2020,February,2,02/20,COI,Kāneʻohe
5,0.24512534818941503,5,Disappearance,2020,May,5,05/20,COI,Kāneʻohe
5,0.403899721448468,5,Appearance,2020,May,5,05/20,COI,Kāneʻohe
5,0.649025069637883,5,Total,2020,May,5,05/20,COI,Kāneʻohe
6,0.2807486631016043,6,Disappearance,2020,June,6,06/20,COI,Kāneʻohe
6,0.5561497326203209,6,Total,2020,June,6,06/20,COI,Kāneʻohe
6,0.27540106951871657,6,Appearance,2020,June,6,06/20,COI,Kāneʻohe
7,0.6475903614457831,7,Total,2020,July,7,07/20,COI,Kāneʻohe
