zeta.order,combinations,zeta.val,zeta.val.sd,Site,Marker
1,17,187.11764705882354,67.8075238754347,Kāneʻohe,18S
2,136,96.94117647058823,42.754342744678134,Kāneʻohe,18S
3,680,64,23.732888572611635,Kāneʻohe,18S
4,2380,49.11764705882353,19.789145866298703,Kāneʻohe,18S
5,6188,38.470588235294116,14.933676904311039,Kāneʻohe,18S
6,12376,31,7.158910531638177,Kāneʻohe,18S
7,19448,24.352941176470587,4.9616173833563115,Kāneʻohe,18S
8,24310,21.647058823529413,3.4267545956522083,Kāneʻohe,18S
9,24310,20.176470588235293,3.1865987768631747,Kāneʻohe,18S
10,19448,17.176470588235293,2.8336216692963587,Kāneʻohe,18S
11,12376,16.647058823529413,2.9355829163598033,Kāneʻohe,18S
12,6188,16.176470588235293,2.455486054675506,Kāneʻohe,18S
13,2380,14.764705882352942,1.7149858514250884,Kāneʻohe,18S
14,680,14,1.7320508075688772,Kāneʻohe,18S
15,136,13.882352941176471,1.5764815627361644,Kāneʻohe,18S
1,17,136.2941176470588,48.74008194735924,Lanikai,18S
2,136,54.94117647058823,19.395458837815923,Lanikai,18S
3,680,35.76470588235294,13.7683033257765,Lanikai,18S
4,2380,25.823529411764707,11.94903392600029,Lanikai,18S
5,6188,22.058823529411764,10.437136749578965,Lanikai,18S
6,12376,19.41176470588235,8.782502658193533,Lanikai,18S
7,19448,17,6.937218462755804,Lanikai,18S
8,24310,14.588235294117647,6.690093642182931,Lanikai,18S
9,24310,13.235294117647058,5.782834639740984,Lanikai,18S
10,19448,12.529411764705882,5.328199121875321,Lanikai,18S
11,12376,11.588235294117647,4.596993902669055,Lanikai,18S
12,6188,10.294117647058824,3.618782700756446,Lanikai,18S
13,2380,10.117647058823529,3.5510975933712463,Lanikai,18S
14,680,9.529411764705882,3.710081654405054,Lanikai,18S
15,136,9.058823529411764,3.8805700005813275,Lanikai,18S
1,17,279.05882352941177,70.60494900167701,Maunalua,18S
2,136,153.94117647058823,34.5171525988082,Maunalua,18S
3,680,112.3529411764706,21.254238331655724,Maunalua,18S
4,2380,90.47058823529412,18.439487679497848,Maunalua,18S
5,6188,77,12.449899597988733,Maunalua,18S
6,12376,68.11764705882354,7.663895492348983,Maunalua,18S
7,19448,61.8235294117647,5.162791082806458,Maunalua,18S
8,24310,58.411764705882355,4.770466742487203,Maunalua,18S
9,24310,54.64705882352941,3.690209622612722,Maunalua,18S
10,19448,50.76470588235294,4.724000049808238,Maunalua,18S
11,12376,49.705882352941174,4.3122602235132,Maunalua,18S
12,6188,48.470588235294116,3.9070072795367228,Maunalua,18S
13,2380,46.705882352941174,3.513628926806887,Maunalua,18S
14,680,43,3.3726843908080104,Maunalua,18S
15,136,42.1764705882353,2.789159687917829,Maunalua,18S
1,17,243.76470588235293,87.45822532198208,Waimānalo,18S
2,136,135.05882352941177,63.85478700559114,Waimānalo,18S
3,680,97.05882352941177,47.351703491314986,Waimānalo,18S
4,2380,69.82352941176471,44.8514705641265,Waimānalo,18S
5,6188,57.23529411764706,35.08833390844581,Waimānalo,18S
6,12376,48.76470588235294,26.91776692949451,Waimānalo,18S
7,19448,40.11764705882353,25.049656566860296,Waimānalo,18S
8,24310,34.411764705882355,20.579294277044013,Waimānalo,18S
9,24310,31.58823529411765,18.200476722909663,Waimānalo,18S
10,19448,28.176470588235293,14.235673913261214,Waimānalo,18S
11,12376,25.235294117647058,12.442514877250026,Waimānalo,18S
12,6188,24.294117647058822,12.00398218239656,Waimānalo,18S
13,2380,22.11764705882353,12.409081114959603,Waimānalo,18S
14,680,18.58823529411765,9.772786344803434,Waimānalo,18S
15,136,16.647058823529413,8.418292407538688,Waimānalo,18S
