zeta.order,combinations,zeta.val,zeta.val.sd,Marker
1,17,553.1176470588235,103.50475976551826,18S
2,136,350.52941176470586,71.75053801806892,18S
3,680,276.29411764705884,62.295429914523375,18S
4,2380,229.47058823529412,56.50787295485783,18S
5,6188,201.47058823529412,43.17423659872115,18S
6,12376,181.58823529411765,29.633298043605887,18S
7,19448,165.23529411764707,20.99562279311067,18S
8,24310,153.05882352941177,20.01396571220736,18S
9,24310,143.88235294117646,18.100008124795057,18S
10,19448,135.05882352941177,20.209745756179412,18S
11,12376,130.11764705882354,17.506721398298627,18S
12,6188,125.11764705882354,16.53739078928859,18S
13,2380,120.17647058823529,15.577368576390105,18S
14,680,110,12.654050734843764,18S
15,136,105.6470588235294,11.140809982170216,18S
16,17,87.11764705882354,4.608176875690327,18S
