zeta.order,combinations,zeta.val,zeta.val.sd,Marker
1,17,777.8235294117648,168.8502425576129,COI
2,136,443.8235294117647,86.7606155566263,COI
3,680,323.3529411764706,70.10522553318563,COI
4,2380,262.3529411764706,55.88821563674066,COI
5,6188,223.64705882352942,44.29297514345614,COI
6,12376,199.52941176470588,32.74736181560819,COI
7,19448,177.1764705882353,19.733332505299398,COI
8,24310,163.88235294117646,15.866168224169536,COI
9,24310,155.52941176470588,15.847387982956464,COI
10,19448,145.05882352941177,23.46931663959161,COI
11,12376,139.41176470588235,20.841841399962156,COI
12,6188,133.8235294117647,18.537918215503755,COI
13,2380,129.05882352941177,18.201890658099554,COI
14,680,119.3529411764706,16.232456593468026,COI
15,136,113.58823529411765,14.41379037384603,COI
16,17,90.41176470588235,5.820855000871991,COI
