zeta.order,combinations,zeta.val,zeta.val.sd,Site,Marker
1,17,1,0.001936637736576704,Kāneʻohe,18S
2,136,0.5180760767054385,0.22848909986153043,Kāneʻohe,18S
3,680,0.34203080792203705,0.12683404770021936,Kāneʻohe,18S
4,2380,0.2624960704181075,0.10575777419901854,Kāneʻohe,18S
5,6188,0.20559572461490097,0.07980902463794017,Kāneʻohe,18S
6,12376,0.1656711725872367,0.038258874265277895,Kāneʻohe,18S
7,19448,0.13014775227915748,0.026516031284834103,Kāneʻohe,18S
8,24310,0.11568689091480666,0.0183133694203356,Kāneʻohe,18S
9,24310,0.10782772712983338,0.01702992115896698,Kāneʻohe,18S
10,19448,0.0917950330084879,0.015143529826481638,Kāneʻohe,18S
11,12376,0.08896573404589751,0.01568843432194802,Kāneʻohe,18S
12,6188,0.08645080163470607,0.013122685611280606,Kāneʻohe,18S
13,2380,0.07890600440113173,0.009165281192777902,Kāneʻohe,18S
14,680,0.07481923923294562,0.00925648026679375,Kāneʻohe,18S
15,136,0.07419050613014776,0.008425082227763218,Kāneʻohe,18S
1,17,1,0.0026238078689901057,Lanikai,18S
2,136,0.40310746655157537,0.14230591292312073,Lanikai,18S
3,680,0.2624082865774709,0.10101905763409604,Lanikai,18S
4,2380,0.18946914113077257,0.08767094378161629,Lanikai,18S
5,6188,0.1618472162278809,0.07657804261667779,Lanikai,18S
6,12376,0.1424255502805352,0.06443787017233063,Lanikai,18S
7,19448,0.12473025463962022,0.05089888384412977,Lanikai,18S
8,24310,0.10703495899870523,0.04908571079719889,Lanikai,18S
9,24310,0.09710832973672853,0.04242908453845349,Lanikai,18S
10,19448,0.09192921881743635,0.039093390190712334,Lanikai,18S
11,12376,0.08502373759171343,0.033728483532746635,Lanikai,18S
12,6188,0.07552870090634442,0.026551275750047298,Lanikai,18S
13,2380,0.07423392317652137,0.02605466512184342,Lanikai,18S
14,680,0.06991799741044455,0.027221142911042696,Lanikai,18S
15,136,0.06646525679758308,0.028472028489375304,Lanikai,18S
1,17,1,9.066582667253362e-4,Maunalua,18S
2,136,0.5516441821247892,0.1236913141188321,Maunalua,18S
3,680,0.4026138279932546,0.07616400751225702,Maunalua,18S
4,2380,0.3241989881956155,0.06607742212298975,Maunalua,18S
5,6188,0.27592748735244516,0.04461388979043179,Maunalua,18S
6,12376,0.24409780775716694,0.027463369175786824,Maunalua,18S
7,19448,0.22154300168634064,0.018500726898758393,Maunalua,18S
8,24310,0.20931703204047217,0.017094842879907774,Maunalua,18S
9,24310,0.19582630691399663,0.013223769726900569,Maunalua,18S
10,19448,0.18191399662731872,0.016928330701252117,Maunalua,18S
11,12376,0.17811973018549745,0.01545287179589469,Maunalua,18S
12,6188,0.1736930860033727,0.01400065846376988,Maunalua,18S
13,2380,0.16736930860033727,0.01259099741899601,Maunalua,18S
14,680,0.1540893760539629,0.012085926358291775,Maunalua,18S
15,136,0.1511382799325464,0.009994880837816847,Maunalua,18S
1,17,1,0.0014718346056244518,Waimānalo,18S
2,136,0.5540540540540541,0.261952552870427,Waimānalo,18S
3,680,0.3981660231660232,0.1942516793803945,Waimānalo,18S
4,2380,0.28643822393822393,0.18399493233353054,Waimānalo,18S
5,6188,0.2347972972972973,0.14394345474024586,Waimānalo,18S
6,12376,0.20004826254826255,0.11042520217215411,Waimānalo,18S
7,19448,0.16457528957528958,0.1027616220165601,Waimānalo,18S
8,24310,0.14116795366795368,0.08442278057667671,Waimānalo,18S
9,24310,0.1295849420849421,0.07466411783046918,Waimānalo,18S
10,19448,0.11558880308880311,0.05839924143953685,Waimānalo,18S
11,12376,0.10352316602316604,0.05104313535551411,Waimānalo,18S
12,6188,0.09966216216216217,0.0492441354007581,Waimānalo,18S
13,2380,0.09073359073359075,0.0509059794773922,Waimānalo,18S
14,680,0.07625482625482626,0.04009106367318011,Waimānalo,18S
15,136,0.0682915057915058,0.03453450070660176,Waimānalo,18S
