zeta.order,combinations,zeta.val,zeta.val.sd,Site,Marker
1,17,1,0.001934358718435372,Kāneʻohe,COI
2,136,0.4958860759493671,0.20422885219934464,Kāneʻohe,COI
3,680,0.32025316455696207,0.13338785905080233,Kāneʻohe,COI
4,2380,0.24525316455696203,0.12031071657451238,Kāneʻohe,COI
5,6188,0.18765822784810127,0.09915900772340491,Kāneʻohe,COI
6,12376,0.14746835443037976,0.06654539230104937,Kāneʻohe,COI
7,19448,0.1060126582278481,0.04479930298195099,Kāneʻohe,COI
8,24310,0.09240506329113923,0.026371413501898734,Kāneʻohe,COI
9,24310,0.0889240506329114,0.024880794554640838,Kāneʻohe,COI
10,19448,0.07373417721518988,0.007056678202841064,Kāneʻohe,COI
11,12376,0.06993670886075949,0.005032292371452294,Kāneʻohe,COI
12,6188,0.06867088607594937,0.0044725614003489145,Kāneʻohe,COI
13,2380,0.0629746835443038,0.002526696111182167,Kāneʻohe,COI
14,680,0.060759493670886074,0.005300042476089942,Kāneʻohe,COI
15,136,0.060759493670886074,0.005300042476089942,Kāneʻohe,COI
1,17,1,0.0017257574773246733,Lanikai,COI
2,136,0.36517985611510795,0.10756947507211086,Lanikai,COI
3,680,0.22014388489208633,0.08561151079136692,Lanikai,COI
4,2380,0.15079136690647482,0.06511335880883228,Lanikai,COI
5,6188,0.11741007194244604,0.053226034172490944,Lanikai,COI
6,12376,0.09697841726618706,0.04269152280917205,Lanikai,COI
7,19448,0.08316546762589928,0.03441887823755322,Lanikai,COI
8,24310,0.06820143884892087,0.025855878901808786,Lanikai,COI
9,24310,0.056978417266187055,0.02001733113785947,Lanikai,COI
10,19448,0.04863309352517986,0.017075990812926642,Lanikai,COI
11,12376,0.04201438848920863,0.01384326708848165,Lanikai,COI
12,6188,0.03338129496402878,0.012012449763880174,Lanikai,COI
13,2380,0.030503597122302162,0.009711963758668321,Lanikai,COI
14,680,0.025611510791366907,0.007445261141292234,Lanikai,COI
15,136,0.024172661870503598,0.00722941045659463,Lanikai,COI
1,17,1,7.767295778369007e-4,Maunalua,COI
2,136,0.50431344356578,0.14221553601895767,Maunalua,COI
3,680,0.3465132997843278,0.08789831093865304,Maunalua,COI
4,2380,0.2659956865564342,0.06752501128400323,Maunalua,COI
5,6188,0.22286125089863407,0.058815308522528774,Maunalua,COI
6,12376,0.18637670740474477,0.03826825590364503,Maunalua,COI
7,19448,0.15708123652048886,0.025196472017326624,Maunalua,COI
8,24310,0.14557872034507546,0.024867414839111264,Maunalua,COI
9,24310,0.1360531991373113,0.01814395387175739,Maunalua,COI
10,19448,0.11682242990654204,0.01307612939937792,Maunalua,COI
11,12376,0.11196980589503953,0.013704096003384793,Maunalua,COI
12,6188,0.10837526959022285,0.012131227196755,Maunalua,COI
13,2380,0.10370237239396117,0.00980994003505724,Maunalua,COI
14,680,0.09417685118619697,0.005207039757662879,Maunalua,COI
15,136,0.09076204169662114,0.006183294667248673,Maunalua,COI
1,17,1,0.001009716376533455,Waimānalo,COI
2,136,0.47715053763440857,0.1889254020113904,Waimānalo,COI
3,680,0.3192204301075269,0.12155368957711629,Waimānalo,COI
4,2380,0.22446236559139784,0.10062248698871494,Waimānalo,COI
5,6188,0.1784274193548387,0.07572331014314504,Waimānalo,COI
6,12376,0.15288978494623656,0.06488092578853771,Waimānalo,COI
7,19448,0.1213037634408602,0.060252237631842634,Waimānalo,COI
8,24310,0.1070228494623656,0.051034216798304874,Waimānalo,COI
9,24310,0.09274193548387097,0.045296817528504486,Waimānalo,COI
10,19448,0.0835013440860215,0.03985282696641658,Waimānalo,COI
11,12376,0.078125,0.036978208664731636,Waimānalo,COI
12,6188,0.07258064516129033,0.03344690700876757,Waimānalo,COI
13,2380,0.06350806451612903,0.036737348127805575,Waimānalo,COI
14,680,0.057459677419354836,0.032594952044807946,Waimānalo,COI
15,136,0.05594758064516129,0.033431659634736044,Waimānalo,COI
