zeta.order,combinations,zeta.val,zeta.val.sd,Marker
1,17,1,3.38318146038195e-4,18S
2,136,0.6337339147080718,0.12972021124185595,18S
3,680,0.4995214293310645,0.11262600324863314,18S
4,2380,0.4148675954482612,0.10216248433825197,18S
5,6188,0.36424545357864513,0.07805615465045831,18S
6,12376,0.32829947888971606,0.05357503634385835,18S
7,19448,0.2987344464532596,0.03795869270263548,18S
8,24310,0.27672019568222905,0.036183921844892594,18S
9,24310,0.2601297458258003,0.032723613540520675,18S
10,19448,0.24417739019461873,0.03653787917207806,18S
11,12376,0.23524407104115708,0.031650990510589866,18S
12,6188,0.2262044028501542,0.029898505096023178,18S
13,2380,0.21727108369669254,0.02816284864390426,18S
14,680,0.19887270020206319,0.022877683983020744,18S
15,136,0.19100287142401362,0.020141845123566277,18S
16,17,0.15750292459853238,0.008331277984338567,18S
