ratio,Site,Marker,zeta.order
0.5180760767054385,Kāneʻohe,18S,1
0.6601941747572816,Kāneʻohe,18S,2
0.7674632352941176,Kāneʻohe,18S,3
0.7832335329341317,Kāneʻohe,18S,4
0.8058103975535168,Kāneʻohe,18S,5
0.7855787476280834,Kāneʻohe,18S,6
0.888888888888889,Kāneʻohe,18S,7
0.9320652173913042,Kāneʻohe,18S,8
0.8513119533527697,Kāneʻohe,18S,9
0.9691780821917809,Kāneʻohe,18S,10
0.9717314487632508,Kāneʻohe,18S,11
0.9127272727272728,Kāneʻohe,18S,12
0.948207171314741,Kāneʻohe,18S,13
0.9915966386554622,Kāneʻohe,18S,14
0.4031074665515753,Lanikai,18S,1
0.6509635974304069,Lanikai,18S,2
0.7220394736842105,Lanikai,18S,3
0.8542141230068336,Lanikai,18S,4
0.8799999999999999,Lanikai,18S,5
0.8757575757575758,Lanikai,18S,6
0.8581314878892733,Lanikai,18S,7
0.907258064516129,Lanikai,18S,8
0.9466666666666668,Lanikai,18S,9
0.9248826291079812,Lanikai,18S,10
0.8883248730964468,Lanikai,18S,11
0.9828571428571428,Lanikai,18S,12
0.9418604651162791,Lanikai,18S,13
0.9506172839506173,Lanikai,18S,14
0.5516441821247892,Maunalua,18S,1
0.7298433320596103,Maunalua,18S,2
0.8052356020942408,Maunalua,18S,3
0.8511053315994799,Maunalua,18S,4
0.8846447669977082,Maunalua,18S,5
0.9075993091537131,Maunalua,18S,6
0.944814462416746,Maunalua,18S,7
0.9355488418932527,Maunalua,18S,8
0.9289558665231431,Maunalua,18S,9
0.9791425260718424,Maunalua,18S,10
0.9751479289940829,Maunalua,18S,11
0.9635922330097088,Maunalua,18S,12
0.920654911838791,Maunalua,18S,13
0.9808481532147744,Maunalua,18S,14
0.5540540540540541,Waimānalo,18S,1
0.7186411149825784,Waimānalo,18S,2
0.7193939393939394,Waimānalo,18S,3
0.8197135636057287,Waimānalo,18S,4
0.8520041109969168,Waimānalo,18S,5
0.8226779252110977,Waimānalo,18S,6
0.8577712609970675,Waimānalo,18S,7
0.9179487179487179,Waimānalo,18S,8
0.8919925512104282,Waimānalo,18S,9
0.8956158663883089,Waimānalo,18S,10
0.9627039627039627,Waimānalo,18S,11
0.9104116222760291,Waimānalo,18S,12
0.8404255319148937,Waimānalo,18S,13
0.8955696202531646,Waimānalo,18S,14
